patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
601020224,SERVICIO NACIONAL DE ESTUDIOS TERRITORIALES,Gobierno Central,Órgano Ejecutivo,Medio Ambiente y Vulnerabilidad
301051606,FONDO DE ACTIVIDADES ESPECIALES DEL MARN  (MEDIOAMBIENTE Y RECURSOS NATURALES),Gobierno Central,Órgano Ejecutivo,Medio Ambiente y Vulnerabilidad
902040391,MINISTERIO DE TURISMO,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
901890137,ASAMBLEA LEGISLATIVA,Gobierno Central,Órgano Legislativo ,Legislativo-normativo
501890113,PRESIDENCIA DE LA REPUBLICA,Gobierno Central,Órgano Ejecutivo,Otros
1051510,CONSEJO NACIONAL PARA LA CULTURA Y EL ARTE (CONCULTURA) PASà A SER SECRETARIA DE CULTURA),Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
801100057,SECRETARIA DE CULTURA DE LA PRESIDENCIA DE LA REPUBLICA,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
301150600,SECRETARIA TCNICA Y DE PLANIFICACIàN DE LA PRESIDENCIA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
503830099,MINISTERIO DE PLANIFICACIàN COORD DESARR ECON SOCIAL,Gobierno Central,Órgano Ejecutivo,Economía e inversión
813890013,MINISTERIO PLANIF COORD DESARR ECON Y SO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
201890147,MINISTERIO PLANIF COORD DESARR ECONOM SO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
711890028,MINISTERIO PLANIF COORD DESARR ECONOM SO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
404860046,MINISTERIO PLANIF COORD DESARROLLO ECON,Gobierno Central,Órgano Ejecutivo,Economía e inversión
814800019,MINISTERIO PLANIFIC COORD DESAR ECON Y S,Gobierno Central,Órgano Ejecutivo,Economía e inversión
412890017,MINISTERIO PLANIFIC COORD DESAR ECONOM S,Gobierno Central,Órgano Ejecutivo,Economía e inversión
10890012,MINISTERIO PLANIFIC COORD DESARR ECONO S,Gobierno Central,Órgano Ejecutivo,Economía e inversión
708890014,MINISTERIO PLANIFIC COORDIN DESAR ECON S,Gobierno Central,Órgano Ejecutivo,Economía e inversión
402890049,MINISTERIO PLANIFICACION COORD DESARROLLO ECONOMICO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
905890018,MINISTERIO PLANIFICACION COORD DESARROLLO ECONOMICO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
806860068,MINISTERIO PLANIFICACION COORD DESARROLLO ECONOMICO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
207860003,MINISTERIO PLANIFICACION COORD DESARROLLO ECONOMICO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
609890021,MINISTERIO PLANIFICACION COORD DESARROLLO ECONOMICO,Gobierno Central,Órgano Ejecutivo,Economía e inversión
701970228,SECRETARIA EJECUTIVA DEL MEDIO AMBIENTE,Gobierno Central,Órgano Ejecutivo,Medio Ambiente y Vulnerabilidad
501921370,COMITE ORGANIZADOR DE LOS V JUEGOS DEPORTIVOS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
4870002,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
6870005,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
111870004,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
114870001,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
203870009,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
208890008,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
302890030,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
312890008,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
409890008,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
510870002,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
513890008,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
801890162,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
805890009,MINISTERIO DE CULTURA Y COMUNICACIONES  (PASO A SER SECRETARIA DE COMUNICACIONES; PERO NO ESTµ INSCRITA AL ISS,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
2890020,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
3790014,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
114800007,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
206800007,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
208890003,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
209890002,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
313890002,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
401890121,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
405890002,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
407800007,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
411790020,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
510790013,ORGANO JUDICIAL,Gobierno Central,Órgano Judicial ,Administración de Justicia
